"RowIDs";"Maßnahme%Kennzahl%Maßeinheit";"Maßnahmen_ID";"Maßnahmen_Bez";"Um was geht es?";"Details";"Kennzahl";"Maßeinheit";"Jahr";"Wert";"Maßnahme%Kennzahl%Maßeinheit%Jahr"
"Row7_Row3";"A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Absatz Ökostrom (OK power) an Tarifkunden*";"MWh";"2015";6979;"""A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh""%2015"
"Row7_Row3";"A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Absatz Ökostrom (OK power) an Tarifkunden*";"MWh";"2014";6623;"""A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh""%2014"
"Row7_Row3";"A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Absatz Ökostrom (OK power) an Tarifkunden*";"MWh";"2013";15070;"""A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh""%2013"
"Row7_Row3";"A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Absatz Ökostrom (OK power) an Tarifkunden*";"MWh";"2012";14019;"""A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh""%2012"
"Row7_Row3";"A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Absatz Ökostrom (OK power) an Tarifkunden*";"MWh";"2011";11687;"""A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh""%2011"
"Row7_Row3";"A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Absatz Ökostrom (OK power) an Tarifkunden*";"MWh";"2010";10117;"""A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh""%2010"
"Row8_?";"A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";;;"Tarifkunden klimaneutrales Gas";"Anzahl";"2023";0;"""A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl""%2023"
"Row8_?";"A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";;;"Tarifkunden klimaneutrales Gas";"Anzahl";"2022";2955;"""A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl""%2022"
"Row8_?";"A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";;;"Tarifkunden klimaneutrales Gas";"Anzahl";"2021";2047;"""A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl""%2021"
"Row8_?";"A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";;;"Tarifkunden klimaneutrales Gas";"Anzahl";"2020";1307;"""A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl""%2020"
"Row8_?";"A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";;;"Tarifkunden klimaneutrales Gas";"Anzahl";"2019";1105;"""A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl""%2019"
"Row8_?";"A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";;;"Tarifkunden klimaneutrales Gas";"Anzahl";"2018";0;"""A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl""%2018"
"Row8_?";"A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";;;"Tarifkunden klimaneutrales Gas";"Anzahl";"2017";0;"""A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl""%2017"
"Row8_?";"A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";;;"Tarifkunden klimaneutrales Gas";"Anzahl";"2016";0;"""A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl""%2016"
"Row8_?";"A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";;;"Tarifkunden klimaneutrales Gas";"Anzahl";"2015";0;"""A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl""%2015"
"Row8_?";"A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";;;"Tarifkunden klimaneutrales Gas";"Anzahl";"2014";0;"""A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl""%2014"
"Row8_?";"A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";;;"Tarifkunden klimaneutrales Gas";"Anzahl";"2013";0;"""A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl""%2013"
"Row8_?";"A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";;;"Tarifkunden klimaneutrales Gas";"Anzahl";"2012";0;"""A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl""%2012"
"Row8_?";"A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";;;"Tarifkunden klimaneutrales Gas";"Anzahl";"2011";0;"""A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl""%2011"
"Row8_?";"A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";;;"Tarifkunden klimaneutrales Gas";"Anzahl";"2010";0;"""A1.3%?%?%Tarifkunden klimaneutrales Gas%Anzahl""%2010"
"Row9_Row5";"A1.3%klimaneutrales Gas%?%Absatz Tarifkunden klimaneutrales Gas%MWh";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"klimaneutrales Gas";;"Absatz Tarifkunden klimaneutrales Gas";"MWh";"2023";0;"""A1.3%klimaneutrales Gas%?%Absatz Tarifkunden klimaneutrales Gas%MWh""%2023"
"Row9_Row5";"A1.3%klimaneutrales Gas%?%Absatz Tarifkunden klimaneutrales Gas%MWh";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"klimaneutrales Gas";;"Absatz Tarifkunden klimaneutrales Gas";"MWh";"2022";28984;"""A1.3%klimaneutrales Gas%?%Absatz Tarifkunden klimaneutrales Gas%MWh""%2022"
"Row9_Row5";"A1.3%klimaneutrales Gas%?%Absatz Tarifkunden klimaneutrales Gas%MWh";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"klimaneutrales Gas";;"Absatz Tarifkunden klimaneutrales Gas";"MWh";"2021";19500;"""A1.3%klimaneutrales Gas%?%Absatz Tarifkunden klimaneutrales Gas%MWh""%2021"
"Row9_Row5";"A1.3%klimaneutrales Gas%?%Absatz Tarifkunden klimaneutrales Gas%MWh";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"klimaneutrales Gas";;"Absatz Tarifkunden klimaneutrales Gas";"MWh";"2020";12700;"""A1.3%klimaneutrales Gas%?%Absatz Tarifkunden klimaneutrales Gas%MWh""%2020"
"Row9_Row5";"A1.3%klimaneutrales Gas%?%Absatz Tarifkunden klimaneutrales Gas%MWh";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"klimaneutrales Gas";;"Absatz Tarifkunden klimaneutrales Gas";"MWh";"2019";9600;"""A1.3%klimaneutrales Gas%?%Absatz Tarifkunden klimaneutrales Gas%MWh""%2019"
"Row9_Row5";"A1.3%klimaneutrales Gas%?%Absatz Tarifkunden klimaneutrales Gas%MWh";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"klimaneutrales Gas";;"Absatz Tarifkunden klimaneutrales Gas";"MWh";"2018";0;"""A1.3%klimaneutrales Gas%?%Absatz Tarifkunden klimaneutrales Gas%MWh""%2018"
"Row9_Row5";"A1.3%klimaneutrales Gas%?%Absatz Tarifkunden klimaneutrales Gas%MWh";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"klimaneutrales Gas";;"Absatz Tarifkunden klimaneutrales Gas";"MWh";"2017";0;"""A1.3%klimaneutrales Gas%?%Absatz Tarifkunden klimaneutrales Gas%MWh""%2017"
"Row9_Row5";"A1.3%klimaneutrales Gas%?%Absatz Tarifkunden klimaneutrales Gas%MWh";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"klimaneutrales Gas";;"Absatz Tarifkunden klimaneutrales Gas";"MWh";"2016";0;"""A1.3%klimaneutrales Gas%?%Absatz Tarifkunden klimaneutrales Gas%MWh""%2016"
"Row9_Row5";"A1.3%klimaneutrales Gas%?%Absatz Tarifkunden klimaneutrales Gas%MWh";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"klimaneutrales Gas";;"Absatz Tarifkunden klimaneutrales Gas";"MWh";"2015";0;"""A1.3%klimaneutrales Gas%?%Absatz Tarifkunden klimaneutrales Gas%MWh""%2015"
"Row9_Row5";"A1.3%klimaneutrales Gas%?%Absatz Tarifkunden klimaneutrales Gas%MWh";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"klimaneutrales Gas";;"Absatz Tarifkunden klimaneutrales Gas";"MWh";"2014";0;"""A1.3%klimaneutrales Gas%?%Absatz Tarifkunden klimaneutrales Gas%MWh""%2014"
"Row9_Row5";"A1.3%klimaneutrales Gas%?%Absatz Tarifkunden klimaneutrales Gas%MWh";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"klimaneutrales Gas";;"Absatz Tarifkunden klimaneutrales Gas";"MWh";"2013";0;"""A1.3%klimaneutrales Gas%?%Absatz Tarifkunden klimaneutrales Gas%MWh""%2013"
"Row9_Row5";"A1.3%klimaneutrales Gas%?%Absatz Tarifkunden klimaneutrales Gas%MWh";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"klimaneutrales Gas";;"Absatz Tarifkunden klimaneutrales Gas";"MWh";"2012";0;"""A1.3%klimaneutrales Gas%?%Absatz Tarifkunden klimaneutrales Gas%MWh""%2012"
